Iniciativa,Reach_n,Reach_%,Churn_lift,Mladsi_lift,Confidence,Zdroju,Effort_TBD,Impact_TBD,RICE_skore_TBD,Pozn
Audiočlánky ladění (kvalita / AI hlas),336,15.7,1.42,1.42,vysoká,2,,,,
Výraznější odlišení přečteného,256,12.0,0.91,1.29,vysoká,2,,,,
Přehlednost / navigace UI,254,11.9,1.38,1.50,vysoká,4,,,,
Vyhledávání (v appce / archiv),247,11.5,0.82,1.27,vysoká,3,,,,
Souhrny / kratší verze článků,187,8.7,1.84,1.22,střední,2,,,,
Deeplinky (otevírat články z odkazů v appce),126,5.9,1.18,1.67,střední,1,,,,
CarPlay / Android Auto,126,5.9,1.24,1.34,střední,2,,,,
Audio: playlist / ovládání,125,5.8,1.25,1.45,střední,2,,,,
Výkon / stabilita appky,122,5.7,1.34,1.36,střední,2,,,,
Lepší offline režim,93,4.3,1.59,1.31,střední,1,,,,
"Notifikace – automatizace, podcasty/témata/autoři",47,2.2,0.83,1.14,nízká,2,,,,
Vypnout self-promo bannery pro přihlášené,21,1.0,1.86,0.28,nízká,1,,,,
Přístupnost (velikost písma),10,0.5,0.00,0.30,nízká,1,,,,
Příznak „vyjde v tištěném vydání“,5,,,,nízká,,,,,5 zmínek v textu (Q153) – aby čtenáři článek nečetli digitálně dřív
Kopírování textu,,,,,nízká,,,,,"z volného textu (Q156), počet zmínek nevyčíslen"
Landing page pro Instagram,,,,,nízká,,,,,"doporučení (slide 12 decku), survey nevyčísluje"
Připomínací newslettery (zvýšení frekvence návštěv),,,,,nízká,,,,,"doporučení z chování segmentů (reaktivace pasivních), survey nevyčísluje"
